PublicationYear,PublicationClone,PublicationTarget,PublicationCitation,PublicationPubmed
"2006","K14/16, K17/70, K20/78","Kv1.2, Kvbeta2, Kv1.1","Gu, C., et al. 2006. Neuron. 52:803-16.","17145502"
"2006","K55/7, K75/41,","Kv4.3, KChIP1","Kollo, M., et al. 2006. J Neurosci. 26:2684-91.","16525047"
"2006","K87A/10","Nav1.6","Lopez-Santiago, L.F., et al. 2006. J Neurosci. 26:7984-94.","16870743"
"2006","K55/7, K57/1, K60/73, K66/38, K75/41","KChIP1, Kv4.2, KChIP2, KChIP3, Kv4.3","Menegola, M., et al. 2006. J Neurosci. 26:12137-42.","17122038"
"2006","L6/60","Slo1/BKAlpha","Misonou, H., et al. 2006. J Comp Neurol. 496:289-302.","16566008"
"2006","K89/34","Kv2.1","Misonou, H., et al. 2006. J Neurosci. 26:13505-14.","17192433"
"2006","K28/43","PSD-95","Mo, Z., et al. 2006. J Neurosci Res. 83:1323-30.","16511870"
"2006","review article","review article","Rhodes, K.J., et al. 2006. J Neurosci. 26:8017-20.","16885215"
"2006","K65/35, K87A/10","CASPR/Neurexin IV, Nav1.6","Rush, A.M., et al. 2006. Eur J Neurosci. 23:2551-62.","16817858"
"2006","L6/60","Slo1/BKAlpha","Tian, L., et al. 2006. FASEB J. 20:2588-90.","17065230"
"2006","K28/43","PSD-95","Varoqueaux, F., et al. 2006. Neuron. 51:741-54.","16982420"
"2006","L6/60","Slo1/BKAlpha","Xu, H., et al. 2006. Hypertension. 48:1080-7.","17060504"
"2006","K73/20","Contactin","Ogawa, Y., et al. 2006. J Neurosci. 26:5230-39.","16687515"
"2006","L6/48","Slo1/BKAlpha","Sailer, C.C., et al. 2006. Eur J Neurosci. 24:442-54.","16903852"
"2007","K28/43, K64/15,  N18/30, N19/2","PSD-95, SAP97, Chapsyn-110, SAP102","Al-Hallaq, R.A., et al. 2007. J Neurosci. 27:8334-43.","17670980"
"2007","K75/41","Kv4.3","Bourdeau, M.L., et al. 2007. J Neurosci. 27:1942-53.","17314290"
"2007","K91/36, K96/7","WAVE1, Pancortin","Cheng, A., et al. 2007. J Neurosci. 27:1519-28.","17301160"
"2007","K14/16","Kv1.2","Chi, X.X., and Nicol, G.D. 2007. J Neurophysiol. 98:2683-92.","17855588"
"2007","K75/41","Kv4.3","Chien, L.Y., et al. 2007. J Neurosci. 27:9855-65.","17855600"
"2007","K57/1","Kv4.2","Gardoni, F., et al. 2007. J Biol Chem. 282:28691-9.","17635915"
"2007","K89/34","Kv2.1","Guan, D., et al. 2007. J Physiol. 581:941-60.","17379638"
"2007","K57/1","Kv4.2","Kim, J., et al. 2007. Neuron. 54:933-47.","17582333"
"2007","N56/21","FGF14/FHF4","Laezza, F., et al. 2007. J Neurosci. 27:12033-44.","17978045"
"2007","N1/12","KCC2","Lee, H.H., et al. 2007. J Biol Chem. 282:29777-84.","17693402"
"2007","K74/71, K87A/10","Nav1.1, Nav1.6","Lopez-Santiago, L.F., et al. 2007. J Mol Cell Cardiol. 43:636-47.","17884088"
"2007","K28/43, K51/1, K64/15, K89/34, L11A/41","PSD-95, SAP97, Kv2.1, Pan-Neurofascin","Micheva, K.D., et al. 2007. Neuron. 55:25-36.","17610815"
"2007","K69/3, K74/71, K87A/10","Nav1.2, Nav1.1, Nav1.6","Mojumder, D.K., et al. 2007. Mol Vis. 13:2163-82.","18079688"
"2007","review article","review article","Moser, N., et al. 2007. J Neurochem. 102:479-92.","17419810"
"2007","K14/16","Kv1.2","Ogiwara, I., et al. 2007. J Neurosci. 27:5903-14.","17537961"
"2007","K7/45, K13/31, K89/34","Kv1.5, Kv1.4, Kv2.1","Pott, C., et al. 2007. Am J Physiol Cell Physiol. 292:C968-73.","16943244"
"2007","K28/43","PSD-95","Silverman, J.B., et al. 2007. J Neurosci. 27:8505-16.","17687028"
"2007","K28/43","PSD-95","Stevens, B., et al. 2007. Cell. 131:1164-78.","18083105"
"2007","K20/78, K14/16, K13/31, K28/43, K57/1, K36/15","Kv1.1, Kv1.2, Kv1.4, PSD-95, Kv4.2, Kv1.1 (external)","Vacher, H., et al. 2007. FASEB J. 21:906-14.","17185748"
"2007","K14/16, K74/71, L11A/41","Kv1.2, Nav1.1, Pan-Neurofascin","Van Wart, A., et al. 2007. J Comp Neurol. 500:339-52.","17111377"
"2007","K13/31, K14/16, K17/70, K20/78, K28/43","Kv1.4, Kv1.2, Kvbeta2, PSD-95","Wenzel, H.J., et al. 2007. Epilepsia. 48:2023-46.","17651419"
"2007","K14/16","Kv1.2","Yang, J.W., et al. 2007. Proc Natl Acad Sci U S A. 104:20055-60.","18056633"
"2007","L21/32","GluA2/GluR2","Mameli, M., et al. 2007. Science. 317:530-3.","17656725"
"2007","K28/43, K56A/50","PSD-95, Frataxin, CASK","Wahlin et al. The Journal of comparative neurology","18076030"
"2007","K28/43, K64/15, N18/30, N19/2","PSD-93/Chapsyn-110, PSD-95, SAP97, SAP102","Al-Hallaq et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17670980"
"2007","N26A/23","Kv7.2/KCNQ2 K+ channel","Wladyka et al. The Journal of physiology","18048450"
"2007","K13/31, K14/16","Kv1.4 K+ channel, Kv1.2 K+ channel","Yang et al. Proceedings of the National Academy of Sciences of the United States of America","18056633"
"2007","K13/31, K20/78, K14/16","Kv1.4 K+ channel, Kv1.2 K+ channel, Kv1.1 K+ channel","Wenzel et al. Epilepsia","17651419"
"2007","N1/12","KCC2","Lee et al. The Journal of biological chemistry","17693402"
"2007","K74/71, K69/3, K87A/10","Nav1.2 Na+ channel, Nav1.1 Na+ channel, Nav1.6 Na+ channel","Mojumder et al. Molecular vision","18079688"
"2007","K74/71, K87A/10","Nav1.1 Na+ channel, Nav1.6 Na+ channel","Lopez-Santiago et al. Journal of molecular and cellular cardiology","17884088"
"2007","K28/43","PSD-95","Fischer et al. The Journal of comparative neurology","18072193"
"2007","K89/34","Kv2.1","Guan et al. The Journal of physiology","17379638"
"2007","K28/43","PSD-95","Ross et al. Developmental neurobiology","18161851"
"2007","K57/1","Kv4.2 K+ channel (external)","Gardoni et al. The Journal of biological chemistry","17635915"
"2007","K75/41","Kv4.3 K+ channel","Bourdeau et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17314290"
"2007","K14/16","Kv1.2","Chi et al. Journal of neurophysiology","17855588"
"2007","review article","review article","Moser et al. Journal of neurochemistry","17419810"
"2007","K75/41","Kv4.3 K+ channel","Chien et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17855600"
"2007","K57/1","Kv4.2 K+ channel (external)","Kim et al. Neuron","17582333"
"2007","K14/16","Kv1.2","Ogiwara et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17537961"
"2007","K28/43","PSD-95","Silverman et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17687028"
"2007","N50/36","NGL-2/LRRC4","Zhang et al. Genes, brain, and behavior","17973922"
"2007","K28/43","PSD-95","Huang et al. Developmental dynamics : an official publication of the American Association of Anatomists","18095352"
"2007","8G10","N-terminus, LRRK2/Dardarin","NA Bezman  -  search.proquest.com",""
"2007","N19/2","SAP102","J Fan  -  open.library.ubc.ca",""
"2007","K28/43","PSD-95","TL Beaumont  -  search.proquest.com",""
"2007","N70/28","HCN1","KC Kankanala  -  books.google.com",""
"2007","N75/33","mGluR1/5 (Group I) glutamate receptor","Y Yao  -  dspace.mit.edu",""
"2008","K28/43","PSD-95","Salomon et al. Neuroscience letters","18832009"
"2008","K56A/50, N10/7, N26A/23, K57/1","Kv4.2 K+ channel (external), Cavbeta4 Ca2+ channel, CASK, Kv7.2/KCNQ2 K+ channel","Klemmer et al. Journal of proteomics","19022416"
"2008","review article","review article","Griggs et al. Molecular genetics and metabolism","19013090"
"2008","K87A/10, N56/21","Nav1.6, FGF14/FHF4","Shakkottai et al. Neurobiology of disease","18930825"
"2008","N68/6","Nav1.7","Ernst et al. Endocrinology","18988673"
"2008","N29/29","VGlut2","Zhou et al. Journal of neurochemistry","19012737"
"2008","K14/16, K69/3, L11A/41","Kv1.2, Nav1.2, Pan-Neurofascin","Lonigro et al. Brain : a journal of neurology","18953054"
"2008","L24/18","type 1, IP3 receptor","Ingram et al. Epilepsia","18616558"
"2008","L6/60","Slo1/BKAlpha maxi-K+ channel","Kim et al. Molecular pharmacology","19052171"
"2008","N56/21","FGF14/FHF4","Diwakar et al. Journal of neurophysiology","19073816"
"2008","K13/31, K14/16, K20/78","Kv1.4, Kv1.2, Kv1.1","Cartwright et al. Bioscience reports","18937645"
"2008","N59/20, N69/46","GluN2B/NR2B glutamate receptor, Shank3","Ma et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","19020030"
"2008","K7/45","Kv1.5 K+ channel","Nanduri et al. Biochemical and biophysical research communications","18570888"
"2008","K13/31, L6/60, N71/37, N26A/23","Kv7.2/KCNQ2 K+ channel, Kv1.4 K+ channel, Slo1/BKAlpha maxi-K+ channel, HCN2","Buniel et al. The Journal of comparative neurology","18668683"
"2008","K87A/10, K69/3, K74/71","Nav1.2 Na+ channel, Nav1.1 Na+ channel, Nav1.6 Na+ channel","Mojumder et al. Molecular vision","18769561"
"2008","K36/15","Kv1.1 K+ channel (external)","Goldberg et al. Neuron","18466749"
"2008","K55/82","Pan-KChIP K+ channel","Jerng et al. The Journal of biological chemistry","18957440"
"2008","K88/64","Zinedin","Benoist et al. Journal of neurochemistry","18466332"
"2008","K28/43","PSD-95","Medvedeva et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18480286"
"2008","L21/32, N59/20, L20/8, K28/43","GluA2/GluR2 glutamate receptor, PICK1, PSD-95, GluN2B/NR2B glutamate receptor","Ghasemzadeh et al. Neuroscience","19105975"
"2008","K65/35","CASPR/Neurexin IV","Jarjour et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18945908"
"2008","K65/35","CASPR/Neurexin IV","Luo et al. Molecular pain","18426592"
"2008","K39/25, K75/41","Kv2.1 K+ channel (external), Kv4.3 K+ channel","Mohapatra et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18463252"
"2008","N18/30","PSD-93/Chapsyn-110","Ogawa et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18509034"
"2008","L23/27","Kv1.3 K+ channel","Doczi et al. American journal of physiology. Regulatory, integrative and comparative physiology","18614767"
"2008","K69/3, K74/71","Nav1.2 Na+ channel, Nav1.1 Na+ channel","Vega et al. Neuroscience letters","18601978"
"2008","K74/71, K87A/10","Nav1.1 Na+ channel, Nav1.6 Na+ channel","Duflocq et al. Molecular and cellular neurosciences","18621130"
"2008","K57/1, K75/41","Kv4.2 K+ channel (external), Kv4.3 K+ channel","Amarillo et al. The Journal of physiology","18276729"
"2008","K89/34","Kv2.1","Mulholland et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18753382"
"2008","K69/3, K74/71","Nav1.2, Nav1.1","Zhao et al. Pain","18442883"
"2008","N16B/8","Kv3.1b","Steinert et al. Neuron","19038221"
"2008","review article","review article","Cahoy et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18171944"
"2008","K57/1","Kv4.2","Hammond et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18650329"
"2008","K14/16, K65/35","Kv1.2, CASPR/Neurexin IV","Lasiene et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18400887"
"2008","K57/1","Kv4.2","Day et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18987196"
"2008","K20/78","Kv1.1 K+ channel","Pineda et al. Journal of neurophysiology","18684900"
"2008","N103/31, N103/39","Aldh1L1, Aldh1L1","Barres et al. Neuron","18995817"
"2008","A12/18, L11A/41, N1/12","Pan-Neurofascin (extracellular), Pan-Neurofascin, KCC2","Hedstrom et al. The Journal of cell biology","19001126"
"2008","K7/45, K14/16, K20/78, K36/15, L23/27","Kv1.5, Kv1.2, Kv1.1, Kv1.1(ext), Kv1.3","Miller et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","19091962"
"2008","K14/16","Kv1.2","Johnston et al. The Journal of physiology","18511484"
"2008","L24/18","IP3 receptor type 1","Zhao et al. American journal of physiology. Cell physiology","18799650"
"2008","N16B/8","Kv3.1b","Schwalbe et al. Biochemistry and cell biology = Biochimie et biologie cellulaire","18364742"
"2008","L6/60","Slo1/BKAlpha","Levy et al. American journal of physiology. Renal physiology","18463315"
"2008","K28/43, K57/1","PSD-95, Kv4.2","Shin et al. Neurobiology of disease","18657617"
"2008","N67/15","TrpC5","Gomis et al. The Journal of physiology","18832422"
"2008","L24/18","type 1, IP3 receptor","Chen et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","19036964"
"2008","review article","review article","Halavi et al. Neuroinformatics","18949582"
"2008","N4/15","PINK1","Zhou et al. Proceedings of the National Academy of Sciences of the United States of America","18687899"
"2008","L6/60","Slo1/BKAlpha","Kim et al. American journal of physiology. Renal physiology","18480178"
"2008","N86/38","GFP","Morishita et al. Eukaryotic cell","18676951"
"2008","review article","review article","Schwappach et al. Molecular membrane biology","18446613"
"2008","K13/31, K55/7, K57/1, K60/73, K66/38, K75/41","Kv1.4, KChIP1, Kv4.2, KChIP2, KChIP3, Kv4.3","Monaghan et al. Neuroscience","18727953"
"2008","L57/46","Cav1.2 + Cav1.3 Ca2+ channels","Telemaque et al. The Journal of pharmacology and experimental therapeutics","18184831"
"2008","K89/34","Kv2.1","Misonou et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","18716211"
"2008","K28/86","Pan-MAGUK","Davis et al. Neural development","18986540"
"2008","K57/1, K75/41","Kv4.2 K+ channel (external), Kv4.3 K+ channel","Clark et al. Frontiers in molecular neuroscience","18978958"
"2008","K55/7, K75/41","KChIP1, Kv4.3","Schwenk et al. The Journal of biological chemistry","18458082"
"2008","K37/89","Kv2.2","Gravagna et al. The Journal of comparative neurology","18680201"
"2008","L6/60","Slo1/BKAlpha maxi-K+ channel","Pacheco Otalora et al. Brain research","18295190"
"2008","K57/1","Kv4.2 K+ channel (external)","Jung et al. Neuron","19038222"
"2008","L24/18","IP3 receptor type 1","Isakson et al. Journal of cell science","18946029"
"2008","K55/7, K75/41","Kv4.3 K+ channel, KChIP1 K+ channel","Menegola et al. Neuroscience","18495361"
"2008","K28/43, L20/8","PSD-95, PICK1","Rocca et al. Nature cell biology","18297063"
"2008","K13/31, K14/16","Kv1.4, Kv1.2","Kim et al. Journal of neurophysiology","18667548"
"2008","review article","review article","Gupta et al. Neuroinformatics","18958629"
"2008","K14/16,  K87A/10,  K65/35","Kv1.2, Nav1.6, CASPR/Neurexin IV","Windrem et al. Cell stem cell","18522848"
"2008","","Npas4","Wischermann et al. Oncogene","18372922"
"2008","N75/3","mGluR1/5 (Group I) glutamate receptor","Kitchens et al. Journal of medical toxicology : official journal of the American College of Medical Toxicology","18821492"
"2008","N95/35","Alpha1, GABA(A)R","PJ Deol  -  search.proquest.com",""
"2008","N77/15","TrpC4","G Mandel - UC Davis L. Rev. -  HeinOnline",""
"2008","N65/37, N86/8","GFP, WT, Ataxin-1","JR Austgen  -  search.proquest.com",""
"2008","N96/55","Beta1, GABA(A)R","A Kabil  -  search.proquest.com",""
"2008","L36/12, L108/92","VIP, CNGA1 + CNGA3, DEPDC5","IR Berry,",""
"2008","K60/73","KChIP2","C Marionneau -  Elsevier","18482733"
"2008","N7/18","Cavbeta1","A Ravindran -  National Acad Sciences","18535142"
"2008","review article","review article","A Gupta -  academia.edu","18958629"
"2008","K28/43","PSD-95","JT Wilcox  -  atrium.lib.uoguelph.ca",""
"2008","L18A/3","BKbeta4 K+ channel","PM Wynne  -  repository.escholarship.umassmed ...",""
"2008","L51/82","MMP9","GE Marshall  -  theses.gla.ac.uk",""
"2008","L6/60","Slo1/BKAlpha","EY Kim -  journals.physiology.org","19052171"
"2008","L42/17","SynDIG1/Tmem90b","EV Kalashnikova  -  search.proquest.com",""
"2008","N70/28","HCN1","JF Duffy - Lewis & Clark L. Rev. -  HeinOnline",""
"2008","N75/3","mGluR1/5 (Group I) glutamate receptor","TC Folsom - Akron Intell. Prop. J. -  HeinOnline",""
"2008","K37/89","Kv2.2","Gravagna, N.G., et al. 2008. J Comp Neurol. 510:508-24.","18680201"
"2008","K57/1, K75/41","Kv4.2, Kv4.3","Amarillo, Y., et al. 2008. J Physiol. 586:2093-106.","18276729"
"2008","N103/31, N103/39","Aldh1L1, Aldh1L1","Barres, B.A. 2008. Neuron. 60:430-40.","18995817"
"2008","K88/64","Zinedin","Benoist, M., et al. 2008. J Neurochem. 106:969-77.","18466332"
"2008","K13/31, L6/60, N71/37, N26A/23","Kv1.4, Slo1/BKAlpha, HCN2, Kv7.2/KCNQ2","Buniel, M., et al. 2008. J Comp Neurol. 510:367-77.","18668683"
"2008","review article","review article","Cahoy, J.D., et al. 2008. J Neurosci. 28:264-78.","18171944"
"2008","L24/18","IP3 receptor type 1","Chen, X., et al. 2008. J Neurosci. 28:12713-24.","19036964"
"2008","K57/1, K75/41","Kv4.2, Kv4.3","Clark, B.D., et al. 2008. Front Mol Neurosci. 1:8.","18978958"
"2008","K28/86","Pan-MAGUK","Davis, E.K., et al. 2008. Neural Dev. 3:32.","18986540"
"2008","K57/1","Kv4.2","Day, M., et al. 2008. J Neurosci. 28:11603-14.","18987196"
"2008","L23/27","Kv1.3","Doczi, M.A., et al. 2008. Am J Physiol Regul Integr Comp Physiol. 295:R733-40.","18614767"
"2008","K74/71, K87A/10","Nav1.1, Nav1.6","Duflocq, A., et al. 2008. Mol Cell Neurosci. 39:180-92.","18621130"
"2008","K28/43, K56A/50","PSD-95, Cask","Fischer, A.J., et al. 2008. J Comp Neurol. 506:584-603.","18072193"
"2008","K36/15","Kv1.1(ext)","Goldberg, E.M., et al. 2008. Neuron. 58:387-400.","18466749"
"2008","N67/15","TrpC5","Gomis, A., et al. 2008. J Physiol. 586:5633-49.","18832422"
"2008","review article","review article","Gupta, A., et al. 2008. Neuroinformatics. 6:205-17.","18958629"
"2008","review article","review article","Halavi, M., et al. 2008. Neuroinformatics. 6:241-52.","18949582"
"2008","K57/1","Kv4.2","Hammond, R.S., et al. 2008. J Neurosci. 28:7513-9.","18650329"
"2008","A12/18, L11A/41, N1/12","Pan-Neurofascin (extracellular), Pan-Neurofascin, KCC2","Hedstrom, K.L., et al. 2008. J Cell Biol. 183:635-40.","19001126"
"2008","K28/43","PSD-95","Huang, H., et al. 2008. Dev Dyn. 237:286-96.","18095352"
"2008","N15/4","TrpV3","Huang, S.M., et al. 2008. J Neurosci. 28:13727-37.","19091963"
"2008","L24/18","IP3 receptor type 1","Isakson, B.E. 2008. J Cell Sci. 121:3664-73.","18946029"
"2008","K65/35","CASPR/Neurexin IV","Jarjour, A.A., et al. 2008. J Neurosci. 28:11003-14.","18945908"
"2008","K55/82","Pan-KChIP","Jerng, H.H., et al. 2008. J Biol Chem. 283:36046-59.","18957440"
"2008","K14/16","Kv1.2","Johnston, J., et al. 2008. J Physiol. 586:3493-509.","18511484"
"2008","K57/1","Kv4.2","Jung, S.C., et al. 2008. Neuron. 60:657-71.","19038222"
"2008","L6/60","Slo1/BKAlpha","Kim, E.Y., et al. 2008. Am J Physiol Renal Physiol. 295:F235-46.","18480178"
"2008","K13/31, K14/16","Kv1.4, Kv1.2","Kim, J., et al. 2008. J Neurophysiol. 100:1835-47.","18667548"
"2008","K14/16, K65/35","Kv1.2, CASPR/Neurexin IV","Lasiene, J., et al. 2008. J Neurosci. 28:3887-96.","18400887"
"2008","L6/60","Slo1/BKAlpha","Levy, D.I., et al. 2008. Am J Physiol Renal Physiol. 295:F380-7.","18463315"
"2008","L57/46","Cav1.2 + Cav1.3","Lipsky, R., et al. 2008. J Biol Chem. 283:17221-6.","18458091"
"2008","K14/16, K36/15, K74/71, K87A/10, L11A/41","Kv1.2, Kv1.1(ext), Nav1.1, Nav1.6, Pan-Neurofascin","Lorincz, A. and Nusser, Z. 2008. J Neurosci. 28:14329-40.","19118165"
"2008","K65/35","CASPR/Neurexin IV","Luo, S., et al. 2008. Mol Pain. 4:16.","18426592"
"2008","N59/20, N69/46","GluN2B/NR2B, Shank3","Ma, X.M., et al. 2008. J Neurosci. 28:12368-82.","19020030"
"2008","K60/73","KChIP2","Marionneau, C., et al. 2008. J Mol Cell Cardiol. 44:1002-15.","18482733"
"2008","K60/73, K89/41","KChIP2, Kv2.1","Marionneau, C., et al. 2008. Circ Res. 102:1406-15.","18451341"
"2008","K65/35","CASPR/Neurexin IV","Martin, P.M., et al. 2008. J Neurosci. 28:6111-7.","18550753"
"2008","N28/9","VGlut1","Mathur, B.N., et al. 2008. Neurosci Lett. 435:90-4.","18358609"
"2008","K28/43","PSD-95","Medvedeva, Y.V., et al. 2008. J Neurosci. 28:5295-311.","18480286"
"2008","K55/7, K75/41","KChIP1, Kv4.3","Menegola, M., et al. 2008. Neuroscience. 154:953-64.","18495361"
"2008","K7/45, K14/16, K20/78, K36/15, L23/27","Kv1.5, Kv1.2, Kv1.1, Kv1.1(ext), Kv1.3","Miller, M.N., et al. 2008. J Neurosci. 28:13716-26.","19091962"
"2008","K89/34","Kv2.1","Misonou, H., et al. 2008. J Neurosci. 28:8529-38.","18716211"
"2008","K39/25, K89/34","Kv2.1ext, Kv2.1","Mohapatra, D.P., et al. 2008. J Neurosci. 28:4982-94.","18463252"
"2008","K69/3, K74/71, K87A/10","Nav1.2, Nav1.1, Nav1.6","Mojumder, D.K., et al. 2008. Mol Vis. 14:1600-13.","18769561"
"2008","K13/31, K55/7, K57/1, K60/73, K66/38, K75/41","Kv1.4, KChIP1, Kv4.2, KChIP2, KChIP3, Kv4.3","Monaghan, M.M., et al. 2008. Neuroscience. 156:550-62.","18727953"
"2008","N86/38","GFP","Morishita, M., et al. 2008. Eukaryot Cell. 7:1674-84.","18676951"
"2008","K89/34","Kv2.1","Mulholland, P.J., et al. 2008. J Neurosci. 28:8801-9.","18753382"
"2008","K7/45","Kv1.5","Nanduri, J., et al. 2008. Biochem Biophys Res Commun. 373:309-14.","18570888"
"2008","K66/38","KChIP3","Nerbonne, J.M., et al. 2008. J Physiol. 586:1565-79.","18187474"
"2008","K60/73","KChIP2","Niwa, N., et al. 2008. J Mol Cell Cardiol. 44:95-104.","18045613"
"2008","K13/31, K14/16, K17/70, K20/78, K28/43,  N18/30","Kv1.4, Kv1.2, Kvbeta2, Kv1.1, PSD-95, Chapsyn-110","Ogawa, Y., et al. 2008. J Neurosci. 28:5731-9.","18509034"
"2008","L6/60","Slo1/BKAlpha","Pacheco Otalora, L.F., et al. 2008. Brain Res. 1200:116-31.","18295190"
"2008","N6/38","VAChT","Perez-Gonzalez, A.P., et al. 2008. J Physiol. 586:4675-91.","18703576"
"2008","K28/43","PSD-95","Pierre, S., et al. 2008. Mol Cell Proteomics. 7:2475-85.","18753128"
"2008","K17/70, K20/78","Kvbeta2, Kv1.1","Pineda, R.H., et al. 2008. J Neurophysiol. 100:2125-36.","18684900"
"2008","N7/18","Cavbeta1","Ravindran, A., et al. 2008. Proc Natl Acad Sci U S A. 105:8154-9.","18535142"
"2008","K28/43, L20/8","PSD-95, PICK1","Rocca, D.L., et al. 2008. Nat Cell Biol. 10:259-71.","18297063"
"2008","K28/43, K28/86","PSD-95, Pan-MAGUK","Ross, B.S., et al. 2008. Dev Neurobiol. 68:409-19.","18161851"
"2008","K28/43","PSD-95","Salomon, S.N., et al. 2008. Neurosci Lett. 447:62-7.","18832009"
"2008","N16B/8","Kv3.1b","Schwalbe, R.A., et al. 2008. Biochem Cell Biol. 86:21-30.","18364742"
"2008","review article","review article","Schwappach, B. 2008. Mol Membr Biol. 25:270-8.","18446613"
"2008","K55/7, K75/41","KChIP1, Kv4.3","Schwenk, J., et al. 2008. J Biol Chem. 283:18937-46.","18458082"
"2008","K28/43, K57/1","PSD-95, Kv4.2","Shin, M., et al. 2008. Neurobiol Dis. 32:26-36.","18657617"
"2008","N16B/8","Kv3.1b","Steinert, J.R., et al. 2008. Neuron. 60:642-56.","19038221"
"2008","L57/46","Cav1.2 + Cav1.3","Telemaque, S., et al. 2008. J Pharmacol Exp Ther. 325:37-46.","18184831"
"2008","L21/32","GluA2/GluR2","Van den Oever, M.C., et al. 2008. Nat Neurosci. 11:1053-8.","19160503"
"2008","K69/3, K74/71","Nav1.2, Nav1.1","Vega, A.V., et al. 2008. Neurosci Lett. 442:69-73.","18601978"
"2008","K28/43, K56A/50","PSD-95, Cask","Wahlin, K.J., et al. 2008. J Comp Neurol. 506:822-37.","18076030"
"2008","L24/18","IP3 receptor type 1","Wilson, L.S., et al. 2008. Proc Natl Acad Sci U S A. 105:13650-5.","18757735"
"2008","K14/16,  K87A/10,  K65/35","Kv1.2, Nav1.6, CASPR/Neurexin IV","Windrem, M.S., et al. 2008. Cell Stem Cell. 2:553-65.","18522848"
"2008","N26A/23","Kv7.2/KCNQ2","Wladyka, C.L., et al. 2008. J Physiol. 586:795-802.","18048450"
"2008","L6/60","Slo1/BKAlpha","Yan, J., et al. 2008. Mol Cell Proteomics. 7:2188-98.","18573811"
"2008","N76/8","Ataxin-1, 11NQ","Zhai, R.G., et al. 2008. Nature. 452:887-91.","18344983"
"2008","N50/36","NGL-2","Zhang, W., et al. 2008. Genes Brain Behav. 7:385-92.","17973922"
